Sr. No.,Bank Code,Bank Name,MICR,IFSC,IIN,ACH CR,ACH DR,APBS,DSA,Bank Type
173,BTUX,BALOTRA URBAN CO-OPERATIVE BANK LTD,344808025,ICIC00BALUC,990005,Yes,Yes,Yes,ICICI BANK LTD,Indirect
174,BUBX,THE BHANDARA URBAN CO OPERATIVE BANK LTD,441807102,HDFC0CBHUCB,607614,Yes,Yes,Yes,HDFC BANK LTD,Indirect
175,BUCL,BELUR URBAN CO OPERATIVE BANK LTD,573803302,UTIB0SUBBLR,NA,Yes,,Yes,AXIS BANK,Indirect
176,BUCX,BEAWAR URBAN CO-OPERATIVE BANK LTD.,305823025,HDFC0CBWRUB,607675,Yes,Yes,Yes,HDFC BANK LTD,Indirect
177,BUGX,BARODA UTTAR PRADESH GRAMIN BANK,229454002,BARB0BUPGBX,606993,Yes,Yes,Yes,BANK OF BARODA,Indirect
178,BUNX,THE BUNDI CENTRAL COOP BANK LTD,323711000,RSCB0018099,508746,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
179,BURX,THE BURDWAN CENTRAL CO OP BANK LTD,713804002,HDFC0CBCCBL,607379,Yes,Yes,Yes,HDFC BANK LTD,Indirect
180,BUSX,THE BUSINESS CO-OPERATIVE BANK LTD,422502002,YESB0BCBL02,607786,Yes,Yes,Yes,IDBI BANK,Indirect
181,BUZX,BADAUN ZILA SAHAKARI BANK LTD BUDAUN,243801202,ICIC00ZSBBU,608170,Yes,Yes,Yes,ICICI BANK LTD,Indirect
182,BVNX,BHAVNAGAR DISTRICT CO OP BANK LTD,364801001,GSCB0BVN001,607968,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
183,BVSX,BHAVANI SAHAKARI BANK LTD,400068261,IBKL0579BSB,990103,Yes,Yes,Yes,IDBI BANK,Indirect
184,CALX,THE CALICUT CO-OPERATIVE URBAN BANK LTD,673831002,FDRL0CCUB01,508802,Yes,Yes,Yes,IDBI BANK,Indirect
185,CBHX,THE CENTRAL COOPERATIVE BANK LTD BHILWARA,311630002,RSCB0016001,508725,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
186,CBIN,CENTRAL BANK OF INDIA,400016000,CBIN0281102,607115,Yes,Yes,Yes,CENTRAL BANK OF INDIA,Direct
187,CCBL,CITIZEN CREDIT CO-OPERATIVE BANK LTD.,400209002,CCBL0209003,607327,Yes,Yes,Yes,CITIZEN CREDIT CO-OPERATIVE BANK LTD.,Direct
188,CCBX,THE CITIZEN COOPERATIVE BANK LIMITED,403639002,HDFC0CTZNBK,607107,Yes,Yes,Yes,HDFC BANK LTD,Indirect
189,CCCX,CHENNAI CENTRAL CO-OPERATIVE BANK LTD.,600092001,TNSC0010500,508664,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
190,CCMX,THE CHANASMA COMMERCIAL CO-OPERATIVE BANK LTD,384821501,GSCB0UCCCBL,990217,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
191,CDCX,THE CUDDALORE DISTRICT CENTRAL COOPERATIVE BANK,605816002,TNSC0011200,508647,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
192,CEBX,THE CENTRAL COOP BANK LTD BIKANER,334512002,RSCB0017001,508698,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
193,CGBX,CHHATTISGARH RAJYA GRAMIN BANK,492521002,SBIN0RRCHGB,607214,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
194,CGGX,CHAITANYA GODAVARI GRAMEENA BANK,520011251,UBIN0CG7999,607080,Yes,Yes,Yes,UNION BANK OF INDIA,Indirect
195,CHAS,J.P.MORGAN CHASE BANK N.A,400500002,CHAS0INBX01,NA,Yes,Yes,,J.P.MORGAN CHASE BANK N.A,Direct
196,CHAX,CHAMOLI ZILA SAHKARI BANK LTD,246810102,IBKL070CZSB,607516,Yes,Yes,Yes,IDBI BANK,Indirect
197,CHBX,THE CHAMBA URBAN COOPERATIVE BANK LTD CHAMBA,176845002,HDFC0C0CUCB,990124,Yes,Yes,Yes,HDFC BANK LTD,Indirect
198,CHCX,THE CHURU CENTRAL COOPERATIVE BANK LTD,331818000,RSCB0020001,508712,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
199,CHDX,THE CHITTOOR DISTRICT CO-OP CENTRAL BANK LTD,517803000,APBL0010001,607498,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
200,CHIX,THE CHIKHLI URBAN CO-OP BANK LTD.,431800501,HDFC0CCUB01,607368,Yes,Yes,Yes,HDFC BANK LTD,Indirect
201,CHKX,CHITTORGARH KENDRIYA SAHAKARI BANK LTD,312814000,RSCB0019099,508694,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
202,CHPX,THE CHOPDA PEOPLES COOP BANK LIMITED,425815501,UTIB0SCPCB1,990184,Yes,,Yes,AXIS BANK,Indirect
203,CHRX,CHERPALCHERI COOP URBAN BANK LTD,679846252,IBKL0763CCB,508921,Yes,Yes,Yes,IDBI BANK,Indirect
204,CHSX,THE CHANDIGARH STATE CO-OP BANK LTD,160351001,UTIB0CSCB22,607612,Yes,Yes,Yes,AXIS BANK,Indirect
205,CHTX,THE CHITNAVISPURA SAHAKARI BANK LTD,440199002,KKBK0TCSB02,990147,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
206,CIDX,THE CHIKMAGALUR DISTRICT CENTRAL COOP BANK LTD,577816102,KSCB0012001,607796,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
207,CITI,CITIBANK N A,400037002,CITI0RTGSMI,607485,Yes,Yes,Yes,CITIBANK N A,Direct
208,CITX,CHITRADURGA DISTRICT COOPERATIVE CENTRAL BANK LTD,577874510,KSCB0004001,607817,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
209,CIUB,CITY UNION BANK LIMITED,600054001,CIUB0000082,607324,Yes,Yes,Yes,CITY UNION BANK LIMITED,Direct
210,CJAX,THE CITIZENS' CO-OPERATIVE BANK LTD JAMMU,180660001,YESB0CJ0101,990119,Yes,Yes,Yes,YES BANK,Indirect
211,CJMX,KARNATAKA MAHILA SAHAKARA BANK NIYAMITHA,577259251,UTIB0SCJMSB,608029,Yes,,Yes,AXIS BANK,Indirect
212,CLBL,CAPITAL LOCAL AREA BANK,144545002,CLBL0000001,607307,Yes,Yes,Yes,CAPITAL LOCAL AREA BANK,Direct
213,CMCX,COMMERCIAL COOP BANK LIMITED,390318000,ICIC00COMCB,990116,Yes,Yes,Yes,ICICI BANK LTD,Indirect
214,CMDX,THE COIMBATORE DISTRICT CENTRAL CO-OP BANK LIMITED,641464002,TNSC0010000,508646,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
215,CMLX,THE COMMERCIAL CO-OPERATIVE BANK LTD,361802000,HDFC0COMMCO,990113,Yes,Yes,Yes,HDFC BANK LTD,Indirect
216,CMSV,CHAITANYA MAHILA SAHAKARI BANK LTD VIJAYAPUR,586259261,UTIB0SCHAIT,817363,Yes,,Yes,AXIS BANK,Indirect
217,CNRB,CANARA BANK,560015000,CNRB0RTGS01,508532,Yes,Yes,Yes,CANARA BANK,Direct
218,CNSX,THE CHEMBUR NAGARIK SAHAKARI BANK,400082513,ICIC00CNSBL,508543,Yes,Yes,Yes,ICICI BANK LTD,Indirect
219,COCX,THE CO OPERATIVE CITY BANK LTD,781115002,HDFC0CCCB02,990270,Yes,Yes,Yes,HDFC BANK LTD,Indirect
220,COLX,COASTAL LOCAL AREA BANK LTD,520652002,COAS0000001,607783,Yes,Yes,Yes,COASTAL LOCAL AREA BANK LTD,Direct
221,COMX,THE COOP BANK OF MEHSANA LTD,384802001,IBKL0443MCB,607780,Yes,Yes,Yes,IDBI BANK,Indirect
222,CONX,CONTAI COOPERATIVE BANK LTD,721862402,ICIC00CCBLT,508866,Yes,,Yes,ICICI BANK LTD,Indirect
223,COSB,THE COSMOS CO-OPERATIVE BANK LTD,400164001,COSB0000025,607090,Yes,Yes,Yes,THE COSMOS CO-OPERATIVE BANK LTD,Direct
224,CPDX,THE CHANDRAPUR DISTRICT CENTRAL CO OP BANK LTD,442806052,YESB0CDC016,607716,Yes,,Yes,YES BANK,Indirect
225,CPSN,CHIKMAGALUR PATTANA SAHAKARA BANK NIYAMITHA,577815102,UTIB0SCPSBN,NA,Yes,,Yes,AXIS BANK,Indirect
226,CRBX,CENTRAL COOPERATIVE BANK LTD ARA,802817102,IBKL0722CCB,607967,Yes,,Yes,IDBI BANK,Indirect
227,CRLY,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,400151002,CRLY0000001,NA,Yes,Yes,,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,Direct
228,CRSX,CHHATTISGARH RAJYA SAHAKARI BANK MYDT,492491002,CBIN0CGDCBN,607894,Yes,Yes,Yes,AXIS BANK,Indirect
229,CRUB,SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP BANK,431840302,CRUB0000001,607694,Yes,Yes,Yes,SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP BANK,Direct
230,CSBK,THE CATHOLIC SYRIAN BANK,695047002,CSBK0000001,607082,Yes,Yes,Yes,THE CATHOLIC SYRIAN BANK,Direct
231,CSBX,CHARTERED SAHAKARI BANK NIYAMITHA,560006252,CSBX0CSB001,990060,Yes,Yes,Yes,YES BANK,Indirect
232,CTBX,CITIZENS CO-OPERATIVE BANK LTD,364471002,IBKL01642C1,990038,Yes,Yes,Yes,IDBI BANK,Indirect
233,CTOX,THE CENTRAL CO-OPERATIVE BANK LTD TONK,304820000,RSCB0034099,608141,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
234,CTUX,CHITTORGARH URBAN COOPERATIVE BANK LTD CHITTORGARH,312833002,HDFC0CCUCBL,508625,Yes,,Yes,HDFC BANK LTD,Indirect
235,CUBX,THE CATHOLIC CO-OPERATIVE URBAN BANK LTD,500259253,NA,NA,Yes,,Yes,IDBI BANK,Indirect
236,CUCX,THE CHIPLUN URBAN COOPERATIVE BANK LTD,415810201,SVCB0006002,607125,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
237,CURX,THE CITIZENS URBAN COOPERATIVE BANK LTD.,144297001,YESB0CB0001,607633,Yes,Yes,Yes,YES BANK,Indirect
238,CUTX,CUTTACK CENTRAL CO OP BANK LTD,753800002,ORCB0CTC001,508776,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
239,CZCX,CITIZEN CO OPERATIVE BANK LTD,110240257,NA,990031,Yes,Yes,Yes,HDFC BANK LTD,Indirect
240,CZUX,CHURU ZILA URBAN CO OPERATIVE BANK LTD,331826002,HDFC0CRCZUC,990032,Yes,Yes,Yes,HDFC BANK LTD,Indirect
241,DAHX,THE DAHOD MERCANTILE CO OPERATIVE BANK LTD,389809021,HDFC0CDMCBD,607329,Yes,Yes,Yes,HDFC BANK LTD,Indirect
242,DAUX,DAUSA URBAN COOPERATIVE BANK LTD,303828002,UTIB0SDUCB3,990212,Yes,,Yes,AXIS BANK,Indirect
243,DBAX,DR BABASAHEB AMBEDKAR SAHAKARI BANK LTD NASIK,422511002,HDFC0CASB01,NA,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
244,DBSS,DEVELOPMENT BANK OF SINGAPORE,400641002,DBSS0IN0811,607578,Yes,Yes,Yes,DEVELOPMENT BANK OF SINGAPORE,Direct
245,DCBL,DCB BANK LTD,400072001,DCBL0000037,607290,Yes,Yes,Yes,DCB BANK LTD,Direct
246,DCBX,DINDIGUL CENTRAL CO-OPERATIVE BANK LTD,625800001,TNSC0011700,508659,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
247,DCCX,THE DISTRICT COOPERATIVE CENTRAL BANK MAHABUBNAGAR,509815002,APBL0014001,607503,Yes,Yes,Yes,TELANGANA STATE CO OP APEX BANK LTD,Indirect
248,DCDX,THE DISTRICT CENTRAL COOP BANK LIMITED ELLURU,534837000,APBL0005001,607490,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
249,DCEX,THE DISTRICT CENTRAL COOPEARATIVE BANK LTD KHAMMAM,NA,APBL0022001,607502,Yes,Yes,Yes,TELANGANA STATE CO OP APEX BANK LTD,Indirect
250,DCKX,THE DISTRICT COOPERATIVE CENTRAL BANK LTD KURNOOL,518823502,APBL0013001,607496,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
251,DCMX,DISTRICT COOPERATIVE BANK LTD MAINPURI,205804002,ICIC00MDCCB,608184,Yes,Yes,Yes,ICICI BANK LTD,Indirect
252,DCNX,THE DECCAN CO-OPERATIVE URBAN BANK LTD,500485253,KKBK0DCUB01,NA,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
253,DCPX,DISTRICT CO OPERATIVE BANK LTD PILIBHIT,262801002,ICIC00PDCBL,607522,Yes,Yes,Yes,ICICI BANK LTD,Indirect
254,DCSX,DISTRICT COOPERATIVE BANK LTD SHAHJAHANPUR,242801000,ICIC00SJDCB,607590,Yes,Yes,Yes,ICICI BANK LTD,Indirect
255,DCTX,DISTRICT CO OPERATIVE BANK LTD. TELIYABAGH,221299001,ICIC00VDCBL,990317,Yes,Yes,Yes,YES BANK,Indirect
256,DCUX,THE DARUSSALAM COOPERATIVE URBAN BANK LTD,500876002,HDFC0CDUCBL,508619,Yes,Yes,,HDFC BANK LTD,Indirect
257,DDBX,DHARMAPURI DISTRICT CENTRAL CO OP BANK LTD,636800102,TNSC0010100,508658,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
258,DDCX,DARJEELING DISTRICT CENTRAL CO OPERATIVE BANK LTD,734816202,WBSC0DJCB01,508738,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
259,DDDX,THE DAKSHIN DINAJPUR DISTRICT CENTRAL CO-OP BANK,733803102,WBSC0DDCB01,607171,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
260,DDHX,DISTRICT CO OPERATIVE BANK LTD DEHRADUN,248541002,YESB0DZSB02,607518,Yes,Yes,Yes,YES BANK,Indirect
261,DENS,DELHI NAGRIK SEHKARI BANK LTD,110196002,YESB0DNB002,990093,Yes,Yes,Yes,YES BANK,Indirect
262,DEOX,DEOGIRI SAHAKARI BANK LTD AURANGABAD,431582001,DEOB0000001,607149,Yes,Yes,Yes,DEOGIRI SAHAKARI BANK LTD AURANGABAD,Direct
263,DEUT,DEUTSCHE BANK AG,400200002,DEUT0000PBC,990175,Yes,Yes,Yes,DEUTSCHE BANK AG,Direct
264,DEUX,DEVIKA URBAN COOPERATIVE BANK LTD,182820001,ICIC00DUCBL,990327,Yes,,Yes,ICICI BANK LTD,Indirect
265,DEVX,DEVELOPMENT CO OPERATIVE BANK LTD KANPUR,208185294,YESB0DEVB01,990067,Yes,Yes,Yes,YES BANK,Indirect
266,DGBX,TELANGANA GRAMEENA BANK,500707000,SBIN0RRDCGB,607195,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
267,DHBX,THE DHANBAD CENTRAL COOPERATIVE BANK LTD,826801002,UTIB0SDCCB1,990081,Yes,Yes,Yes,AXIS BANK,Indirect
268,DHKX,DHAKURIA CO OP BANK LTD,700875002,BKID000DCBL,990129,Yes,Yes,Yes,YES BANK,Indirect
269,DHUX,THE DAHOD URBAN COOP BANK LTD,389808022,HDFC0CDUCBE,NA,Yes,,Yes,HDFC BANK LTD,Indirect
270,DIBX,DISTRICT CO OPERATIVE BANK LTD BARABANKI,226804001,ICIC00BBDCB,508742,Yes,Yes,Yes,ICICI BANK LTD,Indirect
271,DICX,THE DISTRICT CO-OP CENTRAL BANK LTD VISAKHAPATNAM,530519001,APBL0003001,607487,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
272,DISX,DISTRICT CO OP BANK LTD SITAPUR,260803002,ICIC00ZSBLS,990290,Yes,,Yes,ICICI BANK LTD,Indirect
273,DIUX,DILIP URBAN COOPERATIVE BANK LTD,413800201,HDFC0CDILIP,NA,Yes,,Yes,HDFC BANK LTD,Indirect
274,DKCL,DEORIA KASIA DISTRICT COOPERATIVE BANK LTD,274862001,ICIC00DKDCB,990319,Yes,,Yes,ICICI BANK LTD,Indirect
275,DKSX,DAUSA KENDRIYA SAHKARI BANK LTD DAUSA,303832000,RSCB0037099,608136,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
276,DLXB,DHANALAXMI BANK,680048002,DLXB0000146,607239,Yes,Yes,Yes,DHANALAXMI BANK,Direct
277,DMCB,THE DECCAN MERCHANTS CO-OPERATIVE BANK LTD,400071001,IBKL0501DMC,607524,Yes,Yes,Yes,IDBI BANK,Indirect
278,DMCX,DURGAPUR MAHILA CO-OPERATIVE BANK LTD,713804205,HDFC0CDMOBL,NA,Yes,,Yes,HDFC BANK LTD,Indirect
279,DMKB,DMK JAOLI BANK,400743001,DMKJ0000001,607102,Yes,Yes,Yes,DMK JAOLI BANK,Direct
280,DNDC,THE DHULE AND NANDURBAR DIST CENTRAL COOP BANK LTD,424812001,IBKL0483DND,607269,Yes,,Yes,IDBI BANK,Indirect
281,DNSB,DOMBIVILI NAGARI SAHAKARI BANK LTD.,400235001,DNSB0000001,607055,Yes,Yes,Yes,DOMBIVILI NAGARI SAHAKARI BANK LTD.,Direct
282,DNSX,DEENDAYAL NAGARI SAHAKARI BANK LTD,450535101,HDFC0CDNSBA,607636,Yes,Yes,Yes,HDFC BANK LTD,Indirect
283,DOBX,DAPOLI URBAN CO OP BANK LTD DAPOLI,415800176,IBKL0116DPC,607860,Yes,Yes,Yes,IDBI BANK,Indirect
284,DRGX,DURG RAJNANDGAON GRAMIN BANK,400018101,NA,NA,Yes,,Yes,BANK OF BARODA,Indirect
285,DSBX,DAIVADNYA SAHAKARA BANK NIYAMIT,590812002,HDFC0CDSBNB,NA,Yes,,Yes,HDFC BANK LTD,Indirect
286,DSCB,THE DELHI STATE COOPERATIVE BANK LIMITED,110094002,DLSC0000001,607912,Yes,Yes,Yes,THE DELHI STATE COOPERATIVE BANK LIMITED,Direct
287,DSHX,DISTRICT CO OPERATIVE BANK LTD SAHARANPUR,247802002,ICIC00DCBLS,990056,Yes,Yes,Yes,ICICI BANK LTD,Indirect
288,DSPX,DURGAPUR STEEL PEOPLES' COOP BANK LTD,713836202,IBKL0256DSC,607316,Yes,Yes,Yes,IDBI BANK,Indirect
289,DSUX,DHARAMVIR SAMBHAJI URBAN CO-OPERATIVE BANK LTD,411532255,SVCB0004003,508572,Yes,Yes,Yes,YES BANK,Indirect
290,DTCX,DISTRICT CO-OPERATIVE BANK LTD.RAEBARELI,229804003,ICIC00RBDCB,508730,Yes,Yes,Yes,ICICI BANK LTD,Indirect
291,DTPX,DISTRICT COOPERATIVE BANK LTD PRATAPGARH,230810002,ICIC00PRDCB,508741,Yes,,Yes,ICICI BANK LTD,Indirect
292,DUCX,THE DAUND URBAN CO-OP BANK LTD,413921476,HDFC0CDACBL,990159,Yes,Yes,Yes,HDFC BANK LTD,Indirect
293,DUNX,THE DUNGARPUR CENTRAL CO OPERATIVE BANK LTD,314831000,RSCB0021099,607945,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
294,DVDX,DAVANAGERE DISTRICT CENTRAL COOPERATIVE BANK,577873002,KSCB0701001,607803,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
295,DYPX,D.Y.PATIL SAHAKARI BANK LTD. KOLHAPUR,416259264,IBKL0463DYP,990170,Yes,Yes,Yes,IDBI BANK,Indirect
296,EBIL,EMIRATES NBD BANK,400770002,EBIL0000001,990315,Yes,,,EMIRATES NBD BANK,Direct
297,ECBL,EXCELLENT CO-OPERATIVE BANK LTD,400108002,HDFC0CECBL2,607297,Yes,Yes,Yes,HDFC BANK LTD,Indirect
298,EDBX,ELLAQUAI DEHATI BANK,180644001,SBIN0RRELGB,607218,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
299,EDCX,THE ERODE DISTRICT CENTRAL CO-OPERATIVE BANK LTD,638572002,TNSC0010800,508654,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
300,ESAF,ESAF SMALL FINANCE BANK LIMITED,673760002,ESMF0000001,508992,Yes,Yes,Yes,ESAF SMALL FINANCE BANK LIMITED,Direct
301,ESFB,EQUITAS SMALL FINANCE BANK LTD,600756000,ESFB0000001,508998,Yes,Yes,Yes,EQUITAS SMALL FINANCE BANK LTD,Direct
302,ETCX,ETAWAH DISTRICT COOPERATIVE BANK LTD ETWAH,206801000,ICIC00ETAWH,607349,Yes,,Yes,ICICI BANK LTD,Indirect
303,ETDX,ETAH DISTRICT COOPERATIVE BANK LTD,207835102,ICIC00ETDCB,990029,Yes,,Yes,ICICI BANK LTD,Indirect
304,EUCX,ETAH URBAN COOPERATIVE BANK LTD,207834102,ICIC00ETUCB,990114,Yes,,Yes,ICICI BANK LTD,Indirect
305,EWCX,ETAWAH URBAN COOPERATIVE BANK LTD ETAWAH,206802002,HDFC0CEUCBL,990151,Yes,,Yes,HDFC BANK LTD,Indirect
306,FCBX,THE FAZILKA CENTRAL COOP. BANK LTD,152831052,UTIB0SFAZ01,607559,Yes,Yes,Yes,AXIS BANK,Indirect
307,FCCX,THE FARIDKOT CENTRAL COOPERATIVE BANK LTD,151832102,UTIB0SFDK03,607557,Yes,Yes,Yes,AXIS BANK,Indirect
308,FCOX,DISTRICT CO OP BANK LTD FAIZABAD,224801002,ICIC00FDCCB,990291,Yes,Yes,Yes,ICICI BANK LTD,Indirect
309,FDFX,THE FARRUKHABAD DISTRICT COOP BANK LTD FATEHGARH,209801002,ICIC00FDCBL,508728,Yes,,Yes,ICICI BANK LTD,Indirect
310,FDRL,FEDERAL BANK,683049001,FDRL0000379,607165,Yes,Yes,Yes,FEDERAL BANK,Direct
311,FEKX,FEROKE CO-OPERATIVE BANK LTD,673832002,FDRL012FCUB,608140,Yes,Yes,Yes,IDBI BANK,Indirect
312,FGCB,FINGROWTH CO-OPERATIVE BANK LTD,302192001,HDFC0CTUCBL,607711,Yes,Yes,Yes,HDFC BANK LTD,Indirect
313,FINF,FINCARE SMALL FINANCE BANK LTD,560775001,FSFB0000001,608304,Yes,Yes,Yes,FINCARE SMALL FINANCE BANK LTD,Direct
314,FINO,FINO PAYMENTS BANK LTD,990099909,FINO0000001,608001,Yes,,Yes,FINO PAYMENTS BANK LTD,Direct
315,FINX,THE FINANCIAL CO OPERATIVE BANK LTD,395419002,YESB0FINCO2,990045,Yes,Yes,Yes,YES BANK,Indirect
316,FRIX,THE FARIDABAD CENTRAL CO-OPERATIVE BANK LTD,110024253,UTIB0SFCB01,607890,Yes,Yes,Yes,AXIS BANK,Indirect
317,FSCX,THE FATEHGRAH SAHIB CENTRAL COOPERATIVE BANK,140818102,UTIB0SFGH01,607623,Yes,Yes,Yes,AXIS BANK,Indirect
318,FZCX,THE FEROZEPUR CENTRAL COOP. BANK LTD,152812002,UTIB0SFCB02,607568,Yes,Yes,Yes,AXIS BANK,Indirect
319,FZSX,FIROZABAD ZILA SAHKARI BANK LTD,283801002,ICIC00FZSBL,508890,Yes,,Yes,ICICI BANK LTD,Indirect
320,GACX,GUJARAT AMBUJA CO OPERATIVE BANK LTD,380852002,GSCB0UGACBL,NA,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
321,GADX,THE GADHINGLAJ URBAN CO-OP BANK LTD,416404476,ICIC00GUCCB,990118,Yes,Yes,Yes,IDBI BANK,Indirect
322,GAMX,THE GANGA MERCANTILE URBAN CO OP BANK LTD,251852002,ICIC00TGMUC,NA,Yes,,,ICICI BANK LTD,Indirect
323,GANX,THE GANDHIDHAM CO OPERATIVE BANK LTD,370802001,HDFC0CGCBLG,990104,Yes,Yes,Yes,HDFC BANK LTD,Indirect
324,GBCB,THE GREATER BOMBAY CO-OPERATIVE BANK LIMITED,400095001,GBCB0000001,607303,Yes,Yes,Yes,THE GREATER BOMBAY CO-OPERATIVE BANK LIMITED,Direct
325,GCBX,THE GURUVAYUR CO-OPERATIVE URBAN BANK LTD,680815052,NA,NA,Yes,Yes,Yes,IDBI BANK,Indirect
326,GCCX,THE GURDASPUR CENTRAL COOPERATIVE BANK LTD,143821202,UTIB0SGDS01,607567,Yes,Yes,Yes,AXIS BANK,Indirect
327,GCUL,THE GAUHATI CO-OPERATIVE URBAN BANK LTD,781113002,IBKL0115GCU,990135,Yes,Yes,Yes,YES BANK,Indirect
328,GCUX,THE GAYATRI COOPERATIVE URBAN BANK LTD,505846102,HDFC0CTGCUB,607157,Yes,Yes,Yes,HDFC BANK LTD,Indirect
329,GDCB,THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK,442833204,GDCB0000001,607348,Yes,Yes,Yes,THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK,Direct
330,GDCX,THE GUNTUR DISTRICT COOPERATIVE CENTRAL BANK LTD.,520635102,APBL0007001,607492,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
331,GDUX,THE GODHRA URBAN COOP BANK LTD,389807001,UTIB0SGUCB1,608154,Yes,Yes,Yes,ICICI BANK LTD,Indirect
332,GGCX,THE GOPALGANJ CENTRAL CO-OPERTATIVE BANK LIMITED,841808102,IBKL01011GC,607671,Yes,,Yes,IDBI BANK,Indirect
333,GHPX,THE GHATAL PEOPLES' COOPERATIVE BANK LTD,NA,HDFC0CGPCBL,990001,Yes,Yes,Yes,HDFC BANK LTD,Indirect
334,GKNX,THE GANGANAGAR KENDRIYA SAHAKARI BANK LTD,335830005,RSCB0033099,508724,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
335,GMBX,THE GANDHIDHAM MERCANTILE CO-OPERATIVE BANK LTD,370801001,YESB0GMCB01,990195,Yes,,Yes,YES BANK,Indirect
336,GMCX,GUJARAT MERCANTILE CO-OPERATIVE BANK LIMITED,380826002,GSCB0GUMC01,NA,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
337,GMUX,GULSHAN MERCANTILE URBAN CO OP BANK LTD,251854002,IBKL01529GM,608049,Yes,,Yes,IDBI BANK,Indirect
338,GNCX,THE GANDHI COOPERATIVE URBAN BANK LTD,520649000,YESB0GCUB01,508899,Yes,Yes,Yes,YES BANK,Indirect
339,GNSX,THE GOZARIA NAGRIK SAHAKARI BANK LTD,382810161,HDFC0CTGNSB,607733,Yes,Yes,Yes,HDFC BANK LTD,Indirect
340,GODX,GODAVARI URBAN CO-OPERATIVE BANK LTD. NASHIK,422376002,HDFC0CGCB02,NA,Yes,Yes,Yes,IDBI BANK,Indirect
341,GOSX,GONDAL NAGARIK SAHAKARI BANK LTD,360801002,HDFC0CGNSBL,NA,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
342,GPCX,THE GANDEVI PEOPLE'S CO-OPERATIVE BANK LIMITED,396802171,IBKL0068GP1,607660,Yes,Yes,Yes,IDBI BANK,Indirect
343,GPOX,GENERAL POST OFFICE,600111001,SBIN0000DOP,607245,Yes,,Yes,STATE BANK OF INDIA,Indirect
344,GRAX,THE GRAIN MERCHANTS' CO-OPERATIVE BANK LTD,560197000,IBKL0551GMC,607957,Yes,Yes,Yes,IDBI BANK,Indirect
